username,likes,comments,text,hashtags,date,day_of_week,hour,word_count,hashtag_count
editorarocco,555,24,"katherine e michael se conhecem em uma festa de ano-novo, logo se sentem atraídos um pelo outro e começam a namorar pouco depois. convencidos de que vão ficar juntos para sempre, eles decidem transar. é o início de um relacionamento intenso, com um futuro todo planejado e com direito a todas as emoções do primeiro amor. apesar das inquietações e incertezas, tudo parece estar correndo bem entre os dois… até que os pais de katherine insistem que ela e michael passem as férias de verão separados. conforme os dias passam, a distância entre os dois fica cada vez mais difícil de superar, e aos poucos katherine começa a se perguntar: esse amor vai mesmo durar para sempre... ou será apenas o primeiro? tradução: luisa geisler",editorarocco parasempre judyblume,2024-03-06,Wednesday,22,128,3
editorarocco,8630,68,jamais saberão! 😂,meme livros editorarocco literatura,2024-03-06,Wednesday,18,7,4
editorarocco,922,18,"no ano em que sua obra entra em domínio público, graciliano ramos ganha uma releitura muito especial por aqui! do pesquisador da cultura popular fábio sombra, ""vidas secas recontadas em estrofes bem rimadas” chega em junho!",cordel xilogravura gracilianoramos editorarocco,2024-03-06,Wednesday,12,40,4
editorarocco,2446,79,"chamando a geração fanfiqueira! 🗣️ as fanfics são uma paixão mundial e uma das maiores demonstrações de amor dos fãs para seus ídolos. os livros de babi dewet, bruna salles e bruna zielinksi começaram como fanfics na internet e se tornaram romances de muito sucesso por aqui ❤️ você já conhecia todos eles?",fanfic mcfly twice exo editorarocco,2024-03-05,Tuesday,12,58,5
editorarocco,335,16,"vem aí o roccocast, o nosso novo podcast! vocês vão poder acompanhar um pouquinho dos bastidores do nosso trabalho, entrevistas com autores, discussão de assuntos relacionados aos nossos livros e participação dos leitores e parceiros! conta pra mim aqui nos comentários que tipo de conteúdo você gostaria que o roccocast tivesse! <3 em breve nas plataformas de áudio!",podcast videocast livros literatura roccocast editorarocco,2024-03-04,Monday,18,64,6
editorarocco,2632,28,algumas histórias somente o meme é capaz de expressar o que sentimos. qual o meme fala bem sobre o livro que está lendo agora?,editorarocco meme,2024-03-03,Sunday,21,26,2
editorarocco,624,14,"🔁 repost @livrosamoreseflores ""❤️ 52 semanas do ano com clarice lispector ❤️ livro: sentir um pensamento"" 📚😍💌📖❤️""",claricelispector editorarocco,2024-03-03,Sunday,12,19,2
editorarocco,614,46,"bahia, do dia 26 de abril e 1° de maio estremos com o nosso estande no centro de convenções de salvador! não vejo a hora de dar um abraço nos meus leitores tão amados! preparem o acarajé que eu estou chegando!!! <3",bahia bienaldabahia livros literatura editorarocco,2024-03-02,Saturday,23,47,5
editorarocco,388,10,"vamos classificar as matérias que nem o oliver? uma matéria, um emoji! eu começo: literatura 😍",ograndeuniversodeoliver editorarocco,2024-03-02,Saturday,18,18,2
editorarocco,15701,116,"ops, quase que eu pisei...😂",meme livros editorarocco,2024-03-02,Saturday,11,8,3
